,y
0,-1.8267859536722837
1,-1.8267859536722837
2,-1.3165609698160612
3,-0.7248104956830839
4,-1.8267859536722837
5,0.5359806157435357
6,-0.6085005982719206
7,-0.9317594688961085
8,-1.8267859536722837
9,-1.8267859536722837
10,-1.450290823869243
11,0.432414704072589
12,0.1954659488532742
13,-1.6134346377696562
14,1.4277758875305562
15,-0.24421397656932933
16,0.6132469077593868
17,1.029839162186947
18,0.6132469077593868
19,-0.555173318994747
20,-0.28337451418037957
21,0.31961575614136734
22,-1.0128394563983079
23,-1.2023969800839258
24,-0.034759645634601384
25,-0.410355566558301
26,-0.10029172183862117
27,0.6502393356869347
28,0.9733339341567467
29,-0.6085005982719206
30,0.027201557570093515
31,0.14199807314506868
32,0.6502393356869347
33,-0.6085005982719206
34,-0.5045627650044492
35,0.31961575614136734
36,1.043622878523491
37,0.11433453397972093
38,0.5359806157435357
39,-1.3165609698160612
40,-0.28337451418037957
41,0.5751850296606112
42,-1.2023969800839258
43,1.0018667852727894
44,0.08600618556913175
45,-0.10029172183862117
46,-1.8267859536722837
47,-0.6085005982719206
48,0.8530422781131863
49,0.4748516063705442
50,0.7554303197183146
51,1.2717153874030023
52,-0.7248104956830839
53,-0.28337451418037957
54,0.05697550545870504
55,0.6683553934154401
56,1.029839162186947
57,0.14199807314506868
58,0.3885066019222588
59,0.453810029681203
60,0.5557305104343941
61,1.0159214650301465
62,-0.0033604442382183415
63,0.1954659488532742
64,0.24665478960852583
65,0.08600618556913175
66,-0.410355566558301
67,1.0707998733714281
68,0.8686581141236435
69,0.8993726647216799
70,0.8686581141236435
71,-0.2064242064422705
72,0.3430057989296331
73,0.3885066019222588
74,-0.2064242064422705
75,0.24665478960852583
76,0.41065179436646837
77,0.6862283544185372
78,-1.8267859536722837
79,1.029839162186947
80,-0.13455062786892433
81,0.453810029681203
82,0.453810029681203
83,0.5159249349974568
84,-0.555173318994747
85,-0.555173318994747
86,-0.24421397656932933
87,0.59435404119536
88,1.2834119734769134
89,-1.450290823869243
90,-0.6649011707043171
91,-0.9317594688961085
92,0.08600618556913175
93,1.057275514402627
94,0.9294258447356333
95,0.8051057125838016
96,1.4798717708178082
97,-1.0128394563983079
98,0.432414704072589
99,-0.2064242064422705
100,0.9442143730353948
101,1.2480445335526622
102,0.27146131143447005
103,0.738460001983376
104,-1.3165609698160612
105,0.9733339341567467
106,0.3659634897035755
107,-0.2064242064422705
108,-0.410355566558301
109,0.27146131143447005
110,-0.13455062786892433
