"","variable","mean","sd"
"1","lambda1",0.67869999247252,0.160625546616281
"2","lambda2",0.273615925124134,0.148801058669616
"3","lambda3",0.648831297267359,0.287324384440052
"4","p21",0.787212124924419,0.166951477504103
"5","p31",0.794472419946166,0.166951477504103
